"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"","","jsShapes","2","64343","0.0-2.0-0.0","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","right","[1,2]","0","3301","1","3747"
"","","jsShapes","3","78812","0.0-2.0-0.1","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[3,4]","left","[0,3]","0","11634","0","2810"
"","","jsShapes","4","101522","0.0-2.0-0.2","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","left","[3,0]","1","19941","1","2750"
"","","jsShapes","5","114628","0.0-2.0-0.3","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[4,2]","right","[0,1]","0","10515","0.755","2570"
"","","jsShapes","6","121047","0.0-2.0-0.4","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","right","[1,3]","0","4818","0.9966666666666667","1565"
"","","jsShapes","7","135344","0.0-2.0-0.5","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[3,2]","right","[3,1]","0","10233","0","4034"
"","","jsShapes","8","143660","0.0-2.0-0.6","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","left","[0,4]","0","6132","1","2166"
"","","jsShapes","9","152975","0.0-2.0-0.7","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[4,2]","left","[2,0]","0","6161","0.7866666666666666","3134"
"","","jsShapes","10","156958","0.0-2.0-0.8","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","right","[1,0]","0","2221","0.9983333333333333","1742"
"","","jsShapes","11","162909","0.0-2.0-0.9","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","left","[4,0]","1","4668","0.9983333333333333","1261"
"","","jsShapes","12","170143","0.0-2.0-0.10","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[2,4]","right","[3,1]","0","3907","0.83","3301"
"","","jsShapes","13","190039","0.0-2.0-0.11","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[1,0]","left","[4,0]","0","16732","0","3151"
"","","jsShapes","14","194258","0.0-2.0-0.12","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","right","[1,0]","0","2101","1","2090"
"","","jsShapes","15","201425","0.0-2.0-0.13","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[3,0]","right","[1,4]","1","5286","0.8233333333333334","1847"
"","","jsShapes","16","207777","0.0-2.0-0.14","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[4,0]","left","[0,2]","1","4632","0.8116666666666666","1701"
"","","jsShapes","17","215522","0.0-2.0-0.15","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","[0,1]","left","[0,4]","0","2324","0.8183333333333334","5401"
"","76384","survey-text","18","291914","0.0-3.0","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","","","","{""worker_comments"":""I was trying to establish a pattern with the non circle or triangle options but didn't really have enough data to do so.""}","","",""
"","2491","instructions","19","294407","0.0-4.0","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","[{""page_index"":0,""viewing_time"":2491}]","","","","","","",""
